question_id,missed_columns_count,extra_columns_count,missed_columns,extra_columns,recall
1,1,14,{'frpm': ['educational option type']},"{'frpm': ['frpm count (ages 5-17)', 'school code', 'school type', '2013-14 calpads fall 1 certification status', 'cdscode', 'enrollment (k-12)', 'percent (%) eligible frpm (ages 5-17)', 'percent (%) eligible free (ages 5-17)', 'charter school number', 'school name', 'frpm count (k-12)', 'free meal count (k-12)', 'percent (%) eligible free (k-12)', 'percent (%) eligible frpm (k-12)']}",0.6666666666666666
2,1,28,{'schools': ['zip']},"{'schools': ['gsoffered', 'ncesdist', 'mailzip', 'mailstrabr', 'fundingtype', 'edopscode', 'ncesschool', 'charter', 'charternum', 'streetabr', 'mailcity', 'doc', 'magnet', 'ext', 'soc'], 'frpm': ['frpm count (ages 5-17)', 'school code', 'school type', '2013-14 calpads fall 1 certification status', 'county code', 'county name', 'enrollment (k-12)', 'percent (%) eligible free (ages 5-17)', 'school name', 'charter school number', 'percent (%) eligible free (k-12)', 'district code', 'percent (%) eligible frpm (k-12)']}",0.75
3,0,28,{},"{'schools': ['gsoffered', 'ncesdist', 'admemail2', 'admemail1', 'mailzip', 'website', 'school', 'mailstrabr', 'ncesschool', 'streetabr', 'mailcity', 'ext', 'admfname1', 'gsserved'], 'frpm': ['frpm count (ages 5-17)', 'school code', 'school type', '2013-14 calpads fall 1 certification status', 'enrollment (k-12)', 'percent (%) eligible frpm (ages 5-17)', 'percent (%) eligible free (ages 5-17)', 'charter school number', 'school name', 'free meal count (k-12)', 'percent (%) eligible free (k-12)', 'free meal count (ages 5-17)', 'enrollment (ages 5-17)', 'percent (%) eligible frpm (k-12)']}",1.0
4,1,27,{'schools': ['phone']},"{'schools': ['ncesdist', 'website', 'school', 'fundingtype', 'ncesschool', 'charter', 'charternum', 'streetabr', 'closeddate', 'doc', 'magnet', 'ext', 'soc', 'gsserved'], 'frpm': ['frpm count (ages 5-17)', 'school code', 'school type', '2013-14 calpads fall 1 certification status', 'enrollment (k-12)', 'percent (%) eligible frpm (ages 5-17)', 'percent (%) eligible free (ages 5-17)', 'school name', 'charter school number', 'free meal count (k-12)', 'percent (%) eligible free (k-12)', 'enrollment (ages 5-17)', 'percent (%) eligible frpm (k-12)']}",0.8333333333333333
5,0,22,{},"{'schools': ['gsoffered', 'ncesdist', 'latitude', 'website', 'opendate', 'ncesschool', 'charter', 'charternum', 'streetabr', 'magnet', 'ext', 'soc', 'gsserved'], 'satscores': ['sname', 'numtsttakr', 'enroll12', 'cname', 'avgscrread', 'dname', 'avgscrwrite', 'numge1500', 'rtype']}",1.0
6,0,22,{},"{'schools': ['gsoffered', 'ncesdist', 'longitude', 'latitude', 'mailzip', 'website', 'ncesschool', 'charter', 'charternum', 'streetabr', 'mailcity', 'soc', 'gsserved'], 'satscores': ['sname', 'avgscrmath', 'enroll12', 'cname', 'avgscrread', 'dname', 'avgscrwrite', 'numge1500', 'rtype']}",1.0
7,1,24,{'schools': ['phone']},"{'schools': ['ncesdist', 'admemail2', 'longitude', 'admemail1', 'admlname2', 'mailzip', 'website', 'school', 'ncesschool', 'charternum', 'streetabr', 'mailstreet', 'ext', 'soc', 'gsserved'], 'satscores': ['sname', 'avgscrmath', 'numtsttakr', 'enroll12', 'cname', 'avgscrread', 'dname', 'avgscrwrite', 'rtype']}",0.75
8,0,23,{},"{'satscores': ['sname', 'avgscrmath', 'enroll12', 'cname', 'avgscrread', 'dname', 'avgscrwrite', 'numge1500', 'rtype'], 'frpm': ['frpm count (ages 5-17)', 'school type', '2013-14 calpads fall 1 certification status', 'charter school (y/n)', 'enrollment (k-12)', 'percent (%) eligible frpm (ages 5-17)', 'percent (%) eligible free (ages 5-17)', 'charter school number', 'school name', 'free meal count (k-12)', 'percent (%) eligible free (k-12)', 'free meal count (ages 5-17)', 'enrollment (ages 5-17)', 'percent (%) eligible frpm (k-12)']}",1.0
9,0,22,{},"{'frpm': ['frpm count (ages 5-17)', 'school type', 'charter school (y/n)', 'enrollment (k-12)', 'percent (%) eligible frpm (ages 5-17)', 'percent (%) eligible free (ages 5-17)', 'school name', 'charter school number', 'free meal count (k-12)', 'percent (%) eligible free (k-12)', 'free meal count (ages 5-17)', 'enrollment (ages 5-17)', 'percent (%) eligible frpm (k-12)'], 'satscores': ['sname', 'numtsttakr', 'enroll12', 'cname', 'avgscrread', 'dname', 'avgscrwrite', 'numge1500', 'rtype']}",1.0
10,0,23,{},"{'frpm': ['school code', 'school type', '2013-14 calpads fall 1 certification status', 'enrollment (k-12)', 'percent (%) eligible frpm (ages 5-17)', 'percent (%) eligible free (ages 5-17)', 'charter school number', 'school name', 'frpm count (k-12)', 'free meal count (k-12)', 'percent (%) eligible free (k-12)', 'free meal count (ages 5-17)', 'enrollment (ages 5-17)', 'percent (%) eligible frpm (k-12)'], 'satscores': ['sname', 'avgscrmath', 'numtsttakr', 'enroll12', 'cname', 'dname', 'avgscrwrite', 'numge1500', 'rtype']}",1.0
11,0,28,{},"{'frpm': ['frpm count (ages 5-17)', 'school code', 'school type', 'county name', 'percent (%) eligible frpm (ages 5-17)', 'percent (%) eligible free (ages 5-17)', 'charter school number', 'school name', 'frpm count (k-12)', 'free meal count (k-12)', 'percent (%) eligible free (k-12)', 'free meal count (ages 5-17)', 'percent (%) eligible frpm (k-12)'], 'schools': ['gsoffered', 'ncesdist', 'mailzip', 'school', 'edopscode', 'ncesschool', 'charter', 'charternum', 'streetabr', 'eilcode', 'doc', 'magnet', 'ext', 'soc', 'gsserved']}",1.0
