question_id,db_id,tables_dev,tables_csv,gen_tables,total_tables,tp,tn,fp,fn,precision,recall,f1_score
1,california_schools,['frpm'],['frpm'],"['frpm', 'Grapes', 'Lemon']",12,1,0,2,0,0.3333333333333333,1.0,0.5
2,california_schools,"['frpm', 'schools']","['Orange', 'Mango', 'Strawberry']","['Apple', 'Blueberry', 'Pineapple']",17,0,0,3,2,0.0,0.0,0.0
3,california_schools,"['frpm', 'schools']","['Grapes', 'Kiwi', 'Peach']","['Lemon', 'Banana', 'Cherry']",25,0,0,3,2,0.0,0.0,0.0
4,california_schools,"['frpm', 'schools']","['Blueberry', 'Pear', 'Watermelon']","['Mango', 'Strawberry', 'Apple']",8,0,0,3,2,0.0,0.0,0.0
5,california_schools,"['satscores', 'schools']","['Pineapple', 'Lime', 'Raspberry']","['Kiwi', 'Grapes', 'Peach']",36,0,0,3,2,0.0,0.0,0.0
6,california_schools,"['satscores', 'schools']","['Cherry', 'Grapes', 'Banana']","['Strawberry', 'Lemon', 'Apple']",14,0,0,3,2,0.0,0.0,0.0
7,california_schools,"['satscores', 'schools']","['Banana', 'Apple', 'Lemon']","['Cherry', 'Orange', 'Peach']",29,0,0,3,2,0.0,0.0,0.0
8,california_schools,"['frpm', 'satscores']","['Mango', 'Strawberry', 'Apple']","['Pineapple', 'Blueberry', 'Kiwi']",20,0,0,3,2,0.0,0.0,0.0
9,california_schools,"['frpm', 'satscores']","['Kiwi', 'Peach', 'Grapes']","['Banana', 'Cherry', 'Watermelon']",33,0,0,3,2,0.0,0.0,0.0
10,california_schools,"['frpm', 'satscores']","['Pear', 'Blueberry', 'Pineapple']","['Lime', 'Raspberry', 'Mango']",12,0,0,3,2,0.0,0.0,0.0
11,california_schools,"['frpm', 'schools']","['Lemon', 'Apple', 'Grapes']","['Strawberry', 'Cherry', 'Banana']",22,0,0,3,2,0.0,0.0,0.0
12,california_schools,"['frpm', 'satscores']","['Cherry', 'Peach', 'Raspberry']","['Kiwi', 'Watermelon', 'Lime']",30,0,0,3,2,0.0,0.0,0.0
13,california_schools,"['satscores', 'schools']","['Grapes', 'Mango', 'Watermelon']","['Apple', 'Strawberry', 'Pineapple']",28,0,0,3,2,0.0,0.0,0.0
14,california_schools,"['frpm', 'schools']","['Watermelon', 'Pineapple', 'Kiwi']","['Raspberry', 'Lemon', 'Banana']",7,0,0,3,2,0.0,0.0,0.0
