question_id,missed_tables_count,extra_tables_count,missed_tables,extra_tables,recall
0,0,2,set(),"{'schools', 'satscores'}",1.0
1,0,2,set(),"{'schools', 'satscores'}",1.0
2,0,1,set(),{'satscores'},1.0
3,0,1,set(),{'satscores'},1.0
4,0,1,set(),{'satscores'},1.0
5,0,1,set(),{'frpm'},1.0
6,0,1,set(),{'frpm'},1.0
7,0,1,set(),{'frpm'},1.0
8,0,1,set(),{'schools'},1.0
9,0,1,set(),{'schools'},1.0
89,0,6,set(),"{'trans', 'disp', 'order', 'loan', 'client', 'card'}",1.0
90,0,2,set(),"{'client', 'disp'}",1.0
91,0,1,set(),{'account'},1.0
92,0,0,set(),set(),1.0
93,0,2,set(),"{'disp', 'account'}",1.0
94,0,1,set(),{'disp'},1.0
95,0,2,set(),"{'disp', 'trans'}",1.0
96,0,1,set(),{'client'},1.0
97,0,2,set(),"{'client', 'trans'}",1.0
98,0,1,set(),{'trans'},1.0
195,0,3,set(),"{'molecule', 'atom', 'connected'}",1.0
196,0,2,set(),"{'bond', 'connected'}",1.0
197,0,2,set(),"{'molecule', 'connected'}",1.0
198,0,1,set(),{'connected'},1.0
199,0,2,set(),"{'bond', 'connected'}",1.0
200,0,2,set(),"{'atom', 'connected'}",1.0
201,0,2,set(),"{'molecule', 'connected'}",1.0
202,0,3,set(),"{'molecule', 'atom', 'connected'}",1.0
203,0,3,set(),"{'molecule', 'bond', 'connected'}",1.0
204,0,3,set(),"{'bond', 'atom', 'connected'}",1.0
340,0,2,set(),"{'set_transactions', 'sets'}",1.0
341,0,5,set(),"{'set_transactions', 'sets', 'ruling', 'foreign_data', 'legalities'}",1.0
342,0,5,set(),"{'set_transactions', 'sets', 'ruling', 'foreign_data', 'legalities'}",1.0
343,0,5,set(),"{'set_transactions', 'sets', 'ruling', 'foreign_data', 'legalities'}",1.0
344,0,4,set(),"{'ruling', 'foreign_data', 'set_transactions', 'sets'}",1.0
345,0,0,set(),set(),1.0
346,0,0,set(),set(),1.0
347,1,5,{'rulings'},"{'set_transactions', 'sets', 'ruling', 'foreign_data', 'legalities'}",0.5
348,1,5,{'rulings'},"{'set_transactions', 'sets', 'ruling', 'foreign_data', 'legalities'}",0.5
349,1,5,{'rulings'},"{'set_transactions', 'sets', 'ruling', 'foreign_data', 'legalities'}",0.5
531,0,5,set(),"{'comments', 'votes', 'posts', 'posthistory', 'badges'}",1.0
532,0,7,set(),"{'postlinks', 'comments', 'votes', 'posts', 'posthistory', 'badges', 'tags'}",1.0
